"dataset1","dataset2","distance"
cardiotocography,vertebra-column,5.163491187670076
cardiotocography,volcanoes-a1,5.417842927931033
cardiotocography,volcanoes-a3,4.7389918198779135
cardiotocography,volcanoes-a4,4.8326635145758265
cardiotocography,volcanoes-d1,9.657758667823536
cardiotocography,wall-robot-navigation,4.716898993581619
cardiotocography,waveform-5000,8.557052005080346
cardiotocography,wine-quality-white,7.988235494764636
cardiotocography,wine,4.567977686423827
cardiotocography,zoo,7.542934744014659
cmc,abalone,4.670551779645956
cmc,artificial-characters,9.384330621558655
cmc,balance-scale,4.958953026181904
cmc,breast-tissue,5.7726216037516735
cmc,car,5.908839801065867
cmc,cardiotocography,4.967696907451949
cmc,cmc,0.0
cmc,cnae-9,8.126608690465037
cmc,collins,7.873638843829893
cmc,covertype,9.627451042933993
cmc,desharnais,5.581380431802452
cmc,diggle_table_a2,5.949177776449022
cmc,ecoli,6.104916367748833
cmc,energy-efficiency,8.322810994860662
cmc,eye_movements,8.894040171477423
cmc,fabert,9.515453030780206
cmc,fars,9.401227601340581
cmc,fashion-mnist,9.586314707540426
cmc,gas-drift-different-concentrations,7.3572381774573055
cmc,gas-drift,7.584829067443087
cmc,gina_prior2,8.704223176177905
cmc,glass,4.538388844113069
cmc,har,7.965253722226562
cmc,hayes-roth,6.026746288448985
cmc,heart-long-beach,3.278354190681925
cmc,heart-switzerland,3.3989837518490287
cmc,helena,9.632559086882384
cmc,indian_pines,8.949839835981152
cmc,iris,6.071738953013214
cmc,jannis,9.621931423439811
cmc,japanesevowels,6.27905665526273
cmc,jungle_chess_2pcs_endgame_panther_elephant,5.549430655864353
cmc,jungle_chess_2pcs_raw_endgame_complete,9.476391857843158
cmc,leaf,7.002575901618949
cmc,led-display-domain-7digit,6.742772969566966
cmc,mfeat-factors,4.964012507920567
cmc,mfeat-fourier,5.026556864236836
cmc,mfeat-karhunen,5.36428293142153
cmc,mfeat-morphological,6.184820924590453
cmc,mfeat-pixel,5.714505234911199
cmc,microaggregation2,9.231376779822899
cmc,nursery,7.975519983519295
cmc,page-blocks,6.363366796307224
cmc,pokerhand,9.63115966145265
cmc,popularkids,3.330901317795498
cmc,prnn_fglass,4.538388844113035
cmc,prnn_viruses,5.5504012523433355
cmc,rmftsa_sleepdata,4.544380618650837
cmc,robot-failures-lp1,6.017505351997099
cmc,robot-failures-lp5,6.068536934316376
cmc,satimage,8.092859976660474
cmc,seeds,6.069266890975207
cmc,segment,6.375603464086483
cmc,seismic-bumps,6.069266890975207
cmc,semeion,5.337416994218144
cmc,shuttle,9.628811549473063
cmc,spectrometer,6.344494740763602
cmc,steel-plates-fault,4.990301839738165
cmc,synthetic_control,6.0565081306579645
cmc,tae,3.9684134059450358
cmc,tamilnadu-electricity,9.067047787353038
cmc,teachingassistant,5.215167003814888
cmc,thyroid-allbp,5.836438501148043
cmc,thyroid-allhyper,5.836438501148043
